shortname,parent_shortname,question_title,type
ai_agents_company_why_not,,"In your opinion, why would your company not be likely to try AI coding agents in the next 12 months?",CHECKBOX
ai_third_party_policy,,"What is your company’s policy on the <strong>use</strong> of third-party cloud-based AI tools (such as ChatGPT, GitHub Copilot, Cursor, and similar) <strong>for coding and development-related tasks</strong>?",RADIO
ai_third_party_policy_access,,"What is your company’s policy on the <strong>access</strong> of third-party cloud-based AI tools (such as ChatGPT, GitHub Copilot, Cursor, and similar) <strong>to the codebase</strong>?",RADIO
db,,"Which databases have you used in the last 12 months, if any?",CHECKBOX
microservices_do,,Do you develop microservices?,RADIO
remote_do,,Do you ever develop on a remote machine or in a cloud development environment?,RADIO
nocode_experience,,How much experience do you have with low-code/no-code platforms?,RADIO
ai_prevent_use,,"What prevents you from using AI coding assistants, agents or editors for developers (such as GitHub Copilot, JetBrains AI Assistant, Cursor, and similar)?",CHECKBOX
ai_consider_future,,"What would make you more likely to consider using AI coding assistants, agents or editors in the future (such as GitHub Copilot, JetBrains AI Assistant, Cursor, and similar)?",CHECKBOX
db_plan.Amazon Athena,db_plan,Amazon Athena,RADIO
db_plan.Amazon DynamoDB,db_plan,Amazon DynamoDB,RADIO
db_plan.Amazon Redshift,db_plan,Amazon Redshift,RADIO
db_plan.Apache Cassandra,db_plan,Apache Cassandra,RADIO
db_plan.Apache HBase,db_plan,Apache HBase,RADIO
db_plan.BigQuery,db_plan,BigQuery,RADIO
db_plan.ClickHouse,db_plan,ClickHouse,RADIO
db_plan.Cloud Firestore,db_plan,Cloud Firestore,RADIO
db_plan.CockroachDB,db_plan,CockroachDB,RADIO
db_plan.Couchbase,db_plan,Couchbase,RADIO
db_plan.Elasticsearch,db_plan,Elasticsearch,RADIO
db_plan.Exasol,db_plan,Exasol,RADIO
db_plan.H2,db_plan,H2,RADIO
db_plan.IBM Db2,db_plan,IBM Db2,RADIO
db_plan.MariaDB,db_plan,MariaDB,RADIO
db_plan.Microsoft SQL Server,db_plan,Microsoft SQL Server,RADIO
db_plan.MongoDB,db_plan,MongoDB,RADIO
db_plan.MySQL,db_plan,MySQL,RADIO
db_plan.Neo4j,db_plan,Neo4j,RADIO
db_plan.Oracle Database,db_plan,Oracle Database,RADIO
db_plan.PostgreSQL,db_plan,PostgreSQL,RADIO
db_plan.Presto,db_plan,Presto,RADIO
db_plan.Redis,db_plan,Redis,RADIO
db_plan.Snowflake,db_plan,Snowflake,RADIO
db_plan.SQLite,db_plan,SQLite,RADIO
db_plan.Teradata,db_plan,Teradata,RADIO
db_plan,,How do you plan to use this database in your future projects?,TABLE
sql_tool,,Which tools do you regularly use for working with databases?,CHECKBOX
db_how_long,,For how many full years have you worked with databases?,RADIO
db_n_rows,,Approximately how many rows does your largest table contain?,RADIO
java_version,,Which versions of Java do you regularly use?,CHECKBOX
java_buildsystem,,Which build systems do you regularly use?,CHECKBOX
java_unittesting,,Which unit testing frameworks do you use?,CHECKBOX
java_integration_testing,,Which integration testing frameworks do you use?,CHECKBOX
java_web_frameworks,,Which web frameworks do you use?,CHECKBOX
java_ee,,"Which Java Enterprise specification versions do you regularly use, if any?",CHECKBOX
java_profiler,,"Which JVM profilers have you regularly used in the last 12 months, if any?",CHECKBOX
java_app_server,,"Which application servers do you regularly use, if any?",CHECKBOX
java_package,,How do you package your web applications?,CHECKBOX
java_ide,,Which IDE or editor do you use the most for Java development?,RADIO
js_mobile_frameworks,,Which mobile frameworks do you regularly use?,CHECKBOX
js_desktop_frameworks,,Which desktop frameworks do you regularly use?,CHECKBOX
js_frontend_frameworks,,Which JavaScript frontend frameworks do you regularly use?,CHECKBOX
js_backend_frameworks,,Which JavaScript backend frameworks and libraries do you regularly use?,CHECKBOX
js_meta_frameworks,,Which meta-frameworks do you regularly use?,CHECKBOX
js_runtimes,,Which JavaScript runtimes do you regularly use?,CHECKBOX
js_ide,,Which IDE or editor do you use the most for JavaScript and/or TypeScript development?,RADIO
js_ide_satisfied,,How satisfied are you with the IDE or editor you use the most for JavaScript and/or TypeScript development?,RADIO
js_what_for,,What do you use JavaScript and/or TypeScript for at work?,CHECKBOX
js_ts_front_back_ratio,,What is the ratio of your frontend to backend work tasks?,RADIO
prog_lang_for_backend_jsts_section,,What programming language(s) do you use for backend development at work?,CHECKBOX
js_developers_count,,How many active JavaScript / TypeScript contributors are involved in your main project?,RADIO
js_project_years,,For how many years has your main project been in active development?,RADIO
js_package_manager,,Which package managers do you primarily use?,CHECKBOX
js_monorepo_tools,,Which monorepo tools do you regularly use?,CHECKBOX
kotlin_how_long,,How long have you been using Kotlin?,RADIO
kotlin_how_mainly_used,,How do you mainly use Kotlin?,CHECKBOX
kotlin_project_types,,Which types of Kotlin projects are you currently working on?,CHECKBOX
kotlin_languages_before,,What was your primary programming language before you switched to Kotlin?,RADIO
kotlin_ide,,Which IDE do you use the most for Kotlin development?,RADIO
kotlin_build_system,,Which build system do you use the most for Kotlin development?,CHECKBOX
kotlin_jb_libraries,,Which JetBrains Kotlin libraries and tools do you currently use?,CHECKBOX
kotlin_compiler_plugins,,"Which Kotlin compiler plugins do you currently use, if any?",CHECKBOX
go_experience,,How long have you been using Go?,RADIO
go_how,,Which types of projects do you use Go for?,CHECKBOX
go_tasks,,Which tasks do you usually use Go for?,CHECKBOX
go_tasks_often1,go_tasks_often,Web service development (as a backend developer),RADIO
go_tasks_often2,go_tasks_often,Web service development (as a full-stack developer),RADIO
go_tasks_often3,go_tasks_often,Infrastructure platform development: Kubernetes controllers and extensions development,RADIO
go_tasks_often4,go_tasks_often,Infrastructure platform development: serverless architecture development (AWS lambdas etc.),RADIO
go_tasks_often5,go_tasks_often,Infrastructure platform development: other activities,RADIO
go_tasks_often6,go_tasks_often,"Deployment and configuration management (scripts, pipeline automation, monitoring)",RADIO
go_tasks_often7,go_tasks_often,Development of CLI utilities and small tools,RADIO
go_tasks_often8,go_tasks_often,Development of libraries and frameworks,RADIO
go_tasks_often9,go_tasks_often,Data processing,RADIO
go_tasks_often10,go_tasks_often,Deploying and managing AI models,RADIO
go_tasks_often,,How often do you perform the following tasks with Go? ,TABLE
go_templateengines,,"Which template engines do you use for Go development, if any?",CHECKBOX
go_ide_all,,Which IDEs or editors do you use for Go development?,CHECKBOX
go_proglangs,,Which languages do you use along with Go in a single project?,CHECKBOX
go_frameworks,,"Which Go web frameworks do you regularly use, if any?",CHECKBOX
go_testing,,"Which testing frameworks do you regularly use, if any?",CHECKBOX
go_external_deps,,How many external dependencies do you have in your projects?,RADIO
go_code_size,,What is the size of the codebase you are working with in your IDE or editor?,RADIO
go_buildsystem,,"Which build systems do you regularly use, if any?",CHECKBOX
go_challenges,,What challenges do you personally face using Go today? Select up to 3.,CHECKBOX
go_ide,,Which IDE or editor do you use <u>the most</u> for Go development?,RADIO
php_how_long,,How long have you been using PHP?,RADIO
php_version,,Which versions of PHP do you regularly use?,CHECKBOX
php_devenviron,,Which PHP development environments do you regularly use?,CHECKBOX
php_how_debug,,How do you usually debug PHP code?,RADIO
php_frameworks,,"Which PHP frameworks and CMSs do you regularly use, if any?",CHECKBOX
php_run_apps_prod,,How do you run your PHP applications in production?,CHECKBOX
php_ide,,Which editor or IDE do you use the most for PHP development?,RADIO
php_testing,,"Which testing frameworks do you regularly use, if any?",CHECKBOX
php_qualitytools,,"Which additional code quality tools do you regularly use, if any?",CHECKBOX
php_top_features,,What are your top three PHP feature requests?,CHECKBOX
c_standart,,Which C standard(s) do you regularly use?,CHECKBOX
c_ide,,Which IDE or editor do you use the most for C development?,RADIO
c_migration_languages,,"In the next 12 months, which of the following languages, if any, do you plan to migrate any of your existing C code to?",CHECKBOX
c_unittesting,,"Which unit testing frameworks do you regularly use, if any?",CHECKBOX
c_projectmodels,,"Which project models or build systems do you regularly use, if any?",CHECKBOX
c_dependencymanager,,Which dependency manager(s) do you use in your projects?,CHECKBOX
c_compilers,,Which compilers do you regularly use?,CHECKBOX
c_coding_standards,,"Which standards or guidelines, if any, do you follow when coding in C?",CHECKBOX
cpp_standart,,Which C++ standard(s) do you regularly use?,CHECKBOX
cpp_move_98,,"Do you plan to move from C++98 or C++03 to another C++ standard in the next 12 months? If so, to which one?",RADIO
cpp_move_11,,"Do you plan to move from C++11 to another C++ standard in the next 12 months? If so, to which one?",RADIO
cpp_move_14,,"Do you plan to move from C++14 to another C++ standard in the next 12 months? If so, to which one?",RADIO
cpp_move_17,,"Do you plan to move from C++17 to another C++ standard in the next 12 months? If so, to which one?",RADIO
cpp_move_20,,"Do you plan to move from C++20 to another C++ standard in the next 12 months? If so, to which one?",RADIO
cpp_why_current_standard,,Why are you staying with the C++ standard you’re currently using?,CHECKBOX
cpp_features,,Is your current project planning to use any of the following features of modern C++ standards in the next 12 months?,CHECKBOX
cpp_ide,,Which IDE or editor do you use the most for C++ development?,RADIO
vs_plugins,,"Which plugins for Visual Studio do you use, if any?",CHECKBOX
cpp_unittesting,,"Which unit testing frameworks do you regularly use, if any?",CHECKBOX
cpp_libraries,,"Which libraries do you use in your C++ projects, if any?",CHECKBOX
cpp_dependencymanager,,What do you use to manage your first-party and third-party libraries in C++?,CHECKBOX
cpp_projectmodels,,"Which project models or build systems do you regularly use, if any?",CHECKBOX
cpp_compilers,,Which compilers do you regularly use?,CHECKBOX
cpp_other_lang,,"Which other programming languages, if any, do you use in your projects along with C++?",CHECKBOX
cpp_migrate_rust,,Do you plan to migrate any part of your C++ code to Rust in the next 12 months?,RADIO
cpp_guidelines_tools,,"Which of the following tools do you or your team use to enforce code guidelines, run code analysis, or ensure code quality in other ways?",CHECKBOX
cpp_code_analysis,,How do you or your team run code analysis?,CHECKBOX
cpp_optimization,,"Which tools or techniques do you use to optimize your C++ project build times, if any?",CHECKBOX
cpp_conferences,,"Which of the following C++ conferences did you attend at least twice in the past five years, whether in person or online?",CHECKBOX
cpp_local_meetups,,Do you attend local C++ meetups often or at least from time to time?,RADIO
cpp_coding_guidelines,,"Which standards or guidelines, if any, do you follow when coding in C++?",CHECKBOX
csharp_lang,,Which programming language(s) do you use in your .NET projects?,CHECKBOX
csharp_version,,Which version(s) of C# do you regularly use?,CHECKBOX
csharp_ide,,Which IDE or editor do you use the most for C# development?,RADIO
csharp_projects,,Which types of projects do you work on?,CHECKBOX
csharp_runtimes,,Which runtimes do you regularly use?,CHECKBOX
csharp_f_ide,,Which IDE or editor do you use the most for F# development?,RADIO
csharp_f_frameworks,,"Which libraries or tools do you use for F# development, if any?",CHECKBOX
csharp_webframeworks,,"Which technologies or frameworks for <strong>web development</strong> do you use, if any?",CHECKBOX
csharp_aspnet,,"If you develop ASP.NET Core applications, how would you best describe your solution?",RADIO
csharp_frameworks,,"Which technologies or frameworks do you use, if any?",CHECKBOX
csharp_ui_frameworks,,Do you use any third-party UI frameworks?,CHECKBOX
csharp_vsplugins,,Which extension(s) do you use with Visual Studio?,CHECKBOX
csharp_os,,Which operating system(s) does your .NET development environment use?,CHECKBOX
csharp_vsc_plugins,,"Which extensions for Visual Studio Code do you use, if any?",CHECKBOX
csharp_vsversion,,Which version of Visual Studio do you primarily use?,RADIO
csharp_unittesting,,"Which unit testing frameworks do you regularly use, if any?",CHECKBOX
csharp_db_projects,,Do you use SQL Database Projects (.sqlproj) or similar workflows in your development process?,RADIO
csharp_performance,,"Which performance or diagnostic tools do you regularly use, if any?",CHECKBOX
csharp_performance_when,,How often do you typically use profiling or diagnostics tools?,RADIO
csharp_performance_who,,Who is responsible for profiling or diagnostics in your projects?,RADIO
swiftoc_migrage6,,Do you plan to migrate to Swift 6 within the next year?,RADIO
swiftoc_platforms,,For which platforms do you develop?,CHECKBOX
swiftoc_plan_catalyst,,Do you use Mac Catalyst to adapt your iOS applications to macOS?,RADIO
swiftoc_together,,Does your Swift project contain Objective-C code?,RADIO
swiftoc_cpp_libs,,Does your project contain C++ code or C++ libraries?,RADIO
swiftoc_unittesting_write,,Do you write unit tests for your Swift code?,RADIO
swiftoc_unittesting,,"Which unit testing frameworks do you regularly use, if any?",CHECKBOX
swiftoc_mock,,Which mock or matcher frameworks do you use?,CHECKBOX
swiftoc_ui_tests,,Do you perform UI tests in your project?,RADIO
swiftoc_ui_frameworks,,"Which UI testing frameworks do you regularly use, if any?",CHECKBOX
swiftoc_dependecymanager,,"Which dependency manager(s) do you use, if any?",CHECKBOX
swiftoc_cocoa,, Are you actively replacing CocoaPods dependencies with SwiftPM packages?,RADIO
swiftoc_db_engine,,Which combination of database engine and framework do you use?,CHECKBOX
swiftoc_serverside,,Do you use Swift to develop server-side projects?,RADIO
swiftoc_ide,,Which editor or IDE do you primarily use for server-side development with Swift?,RADIO
swiftoc_ui_technologies,,Which UI technologies do you regularly use for your Swift code?,CHECKBOX
swiftoc_community_libraries,,Which community libraries do you use?,CHECKBOX
python_version,,Which version of Python do you use the most?,RADIO
python_for,,What do you use Python for?,CHECKBOX
py_tasks.Computer graphics,py_tasks,Computer graphics,CHECKBOX
py_tasks.Data analysis,py_tasks,Data analysis,CHECKBOX
py_tasks.Desktop development,py_tasks,Desktop development,CHECKBOX
py_tasks.Software testing / Writing automated tests,py_tasks,Software testing / Writing automated tests,CHECKBOX
py_tasks.Embedded development,py_tasks,Embedded development,CHECKBOX
py_tasks.Game development,py_tasks,Game development,CHECKBOX
py_tasks.Machine learning development / AI engineering / ML Ops,py_tasks,Machine learning development / AI engineering / ML Ops,CHECKBOX
py_tasks.Mobile development,py_tasks,Mobile development,CHECKBOX
py_tasks.Network programming,py_tasks,Network programming,CHECKBOX
py_tasks.Programming of web parsers / scrapers / crawlers,py_tasks,Programming of web parsers / scrapers / crawlers,CHECKBOX
py_tasks.Software prototyping,py_tasks,Software prototyping,CHECKBOX
py_tasks.System administration / Writing automation scripts / Infrastructure configuration (DevOps),py_tasks,System administration / Writing automation scripts / Infrastructure configuration (DevOps),CHECKBOX
py_tasks.Web development,py_tasks,Web development,CHECKBOX
py_tasks,,Please specify the tasks you perform for your job and those that you undertake for your personal or side projects.,TABLE
python_web_libs,,What web frameworks / libraries do you use in addition to Python?,CHECKBOX
python_ds_libs,,What data science frameworks do you use in addition to Python?,CHECKBOX
python_other_libs,,Which other frameworks and libraries do you use with Python?,CHECKBOX
python_other_techs,,Which other technologies do you use with Python?,CHECKBOX
python_ide,,Which IDE or editor do you use the most for Python development?,RADIO
ruby_status_company,,What is the status of Ruby as a technology in your company or project?,RADIO
ruby_replacement_language,,Which language(s) are you planning to choose as a replacement for Ruby? Please select all that apply.,CHECKBOX
ruby_ide,,Which editor or IDE do you <u>primarily</u> use for Ruby development?,RADIO
ruby_ide_additional,,"Which <u>additional</u> editor or IDE do you use for Ruby development the most, if any?",RADIO
ruby_version,,Which versions of Ruby do you use the most?,CHECKBOX
ruby_version_migrate,,"Do you plan to migrate to a newer version of Ruby in the next 12 months? If so, to which one?",RADIO
ruby_version_management,,Which tools do you use to manage different versions of Ruby?,CHECKBOX
ruby_gemmanagement,,"Which gem management tools do you regularly use, if any?",CHECKBOX
ruby_gems_count,,"How many gems have you personally authored, if any?",RADIO
ruby_rails_version,,Which version of Rails do you use?,RADIO
ruby_rails_version_migrate,,"Do you plan to migrate to a newer version of Rails in the next 12 months? If so, to which one?",RADIO
ruby_servers,,"Which servers do you regularly use in production, if any?",CHECKBOX
ruby_unittesting,,"Which unit testing frameworks do you regularly use for Ruby development, if any?",CHECKBOX
ruby_spec_tools,,"Which type-specification tools do you use for Ruby development, if any?",CHECKBOX
ruby_spec_tools_migrate,,Do you plan to use any type-specification tools for Ruby development in the next 12 months?,CHECKBOX
ruby_checking_tools,,"Which type-checking tools do you use, if any?",CHECKBOX
ruby_front_js,,Do you use any frontend JavaScript framework along with Ruby on Rails or another server-side Ruby framework?,CHECKBOX
ruby_remote_rm,,Which remote development technologies have you tried using in RubyMine?,CHECKBOX
ruby_jb_gateway,,Which type of host did you use with JetBrains Gateway?,CHECKBOX
ruby_jb_gateway_exp,,How would you describe your experience using JetBrains Gateway?,RADIO
ruby_remote_dev_often,,How often do you use remote development to code in Ruby?,RADIO
ruby_interpreters,,"If you prefer remote interpreters over remote development, which interpreters do you use?",CHECKBOX
ruby_debugger,,"Which Ruby debugger do you use, if any?",CHECKBOX
ruby_subsystem_count,,How many distinct subsystems or components does your main project repository contain?,RADIO
ruby_team_change,,Has your development team grown or shrunk in the last year?,RADIO
ruby_conference,,"Have you been to a conference (regional, national, or international) for Ruby and/or Rails in the last year?",RADIO
ruby_user_groups,,Do you participate in local user groups related to Ruby / Rails development (whether in person or online)?,RADIO
rust_how,,What do you use Rust for?,CHECKBOX
rust_how_long,,How long have you been using Rust?,RADIO
rust_ide,,Which IDEs or editors do you use for Rust development?,CHECKBOX
rust_primary_ide,,Which IDE or editor do you use the most for Rust development?,RADIO
rust_other_langs,,Which programming languages do you use in your projects along with Rust?,CHECKBOX
rust_exp_before,,How much coding experience did you have before you started using Rust?,RADIO
rust_lang_before,,What were your primary programming languages before you started using Rust?,CHECKBOX
rust_profiler,,"Which profiling tools do you use for Rust, if any?",CHECKBOX
rust_projecttypes,,Which kinds of projects do you develop in Rust?,CHECKBOX
rust_platforms,,Which platforms do you target with your Rust projects?,CHECKBOX
scala_version,,Which versions of Scala do you regularly use?,CHECKBOX
scala_migration_prevent,,What is preventing you from switching to Scala 3?,CHECKBOX
scala_version_work,,Which version of Scala do you mainly use for your work projects?,RADIO
scala_version_hobby,,Which version of Scala do you mainly use for your hobby projects?,RADIO
scala_unittesting,,"Which unit testing frameworks do you regularly use, if any?",CHECKBOX
scala_frameworks,,Which frameworks and libraries do you regularly use?,CHECKBOX
scala_frameworks_web,,Which frameworks and libraries do you regularly use for web development?,CHECKBOX
scala_ide,,Which editors or IDEs do you use for Scala development?,CHECKBOX
scala_buildsystem,,Which build systems do you regularly use?,CHECKBOX
scala_interactive,,"Which interactive Scala environments do you regularly use, if any?",CHECKBOX
scala_tools,,Which other tools do you use for Scala development?,CHECKBOX
mcrsrvc_parts_communicate,,How do the distributed parts of your application communicate?,CHECKBOX
mcrsrvc_store_api_spec,,Where do you store API specifications?,RADIO
mcrsrvc_how_vcs,,Which repository configuration do you use to organize version control for microservices?,RADIO
mcrsrvc_proglang,,Which languages do you use to develop microservices?,CHECKBOX
mini_development,,"Do you develop mini-apps (for WeChat, Alipay, Baidu, etc.)?",CHECKBOX
mini_ide,,Which IDE do you use for mini-app development?,CHECKBOX
mini_libraries,,"Which libraries do you use for mini-app development, if any?",CHECKBOX
mini_tools_satisfaction,,How satisfied or dissatisfied are you with the development tools that you currently use for mini-app development?,RADIO
embedded_project_types,,Which types of projects do you typically undertake in embedded development?,CHECKBOX
embedded_kits_used,,Which ready-made microcontroller kits or single-board computers do you use for any purpose in your main projects?,CHECKBOX
embedded_vendors,,Think of the code you wrote last year. Which vendors’ microcontrollers or microprocessors does it run on?,CHECKBOX
embedded_system_types,,Which types of embedded systems do you work with?,CHECKBOX
embedded_linux_os,,Which embedded Linux-based OS do you work with?,CHECKBOX
embedded_rt_os,,Which real-time operating systems do you work with (besides FreeRTOS)?,CHECKBOX
embedded_assembly_use,,How do you usually use assembly language?,RADIO
embedded_dev_process,,Which of the following embedded development processes do you regularly perform in addition to software development?,CHECKBOX
embedded_platformio,,Do you use PlatformIO?,RADIO
game_tech,,"Which game technologies do you use, if any?",CHECKBOX
game_tech_project,,What best describes the type(s) of projects you or your company use game technologies to develop?,CHECKBOX
game_is_hobby,,Do you use game technologies or develop games professionally or as a hobby?,RADIO
game_company,,How would you describe the company or organization you work for?,CHECKBOX
game_distribute,,Where do you distribute your games?,CHECKBOX
game_genre,,Which genre(s) of games do you develop?,CHECKBOX
game_kind,,Which parts of game development do you work on?,CHECKBOX
game_platforms,,Which platforms do you target with your projects that use game technologies?,CHECKBOX
game_ide,,Which IDE or editor do you use the most for your game development projects?,CHECKBOX
game_lang,,Which of the following programming languages have you used for your game development projects in the last 12 months?,CHECKBOX
game_version_control,,Which tools do you or your team use for version control?,CHECKBOX
gamedev_file_sharing,,Which tool(s) do you or your team use for storing and sharing files and art assets?,CHECKBOX
game_graphic_tools,,"Which graphic or digital content creation (DCC) tool(s) do you or your team use, if any?",CHECKBOX
game_learn,,Which of the following have you been using to learn anything related to game development in the past 12 months?,CHECKBOX
game_events,,"Which events related to game development did you attend in the past two years, if any?",CHECKBOX
game_profile,,How often do you profile while developing with game technologies?,RADIO
game_tests,,Have you ever integrated performance tests or profiler usage into your CI/CD pipeline?,RADIO
game_profile_often,,Why do you usually profile?,RADIO
game_profilers_use,,Do you use profilers that are not part of the game engine you work with?,RADIO
game_profilers,,Which CPU profilers do you use that are not part of the game development engine you primarily work with?,CHECKBOX
game_annotating,,Which libraries do you use for annotating code?,CHECKBOX
game_profiler_mode,,Which profiler mode do you use the most?,RADIO
game_calltree,,What information are you primarily looking for in call trees when profiling your games?,CHECKBOX
mobile_os,,For which mobile operating systems do you develop?,CHECKBOX
mobile_target_os,,How do you develop for mobile operating systems?,CHECKBOX
mobile_crossplatform_frmwrk,,Which cross-platform mobile frameworks do you use?,CHECKBOX
